fetch_date,snapshot_date,rows,weight_sum,hash,daily_path,snapshot_path,is_new_snapshot
2025-08-29,2025-08-28,50,95.59,77df7258f1791dd3fbf65442e0a275ddf9b746d10e6288f7c2585a460988ea6e,archive/daily/2025-08-29.xlsx,archive/snapshots/ETF_Investment_Portfolio_20250828.xlsx,1
2025-08-29,2025-08-29,50,95.8,8c8ed197e90c26ce886e9b87e2d1b7c58089974b8e29e460ca65da34cf74ba3b,archive/daily/2025-08-29.xlsx,archive/snapshots/ETF_Investment_Portfolio_20250829.xlsx,1
2025-08-30,2025-08-29,50,95.8,8c8ed197e90c26ce886e9b87e2d1b7c58089974b8e29e460ca65da34cf74ba3b,archive/daily/2025-08-30.xlsx,,0
2025-08-31,2025-08-29,50,95.8,8c8ed197e90c26ce886e9b87e2d1b7c58089974b8e29e460ca65da34cf74ba3b,archive/daily/2025-08-31.xlsx,,0
