股票代號,收盤價
1590,1545.0
2002,19.05
2303,116.0
2308,1650.0
2313,208.5
2317,260.0
2327,540.0
2330,2370.0
2345,2215.0
2360,2030.0
2368,982.0
2382,298.0
2383,5240.0
2408,457.0
2439,80.2
2449,242.0
2454,3900.0
2481,133.0
3008,4385.0
3017,2785.0
3037,955.0
3376,184.5
3443,4545.0
3533,1910.0
3653,4380.0
3661,3715.0
3665,2200.0
3711,585.0
4958,473.0
6191,83.5
6271,193.5
6278,156.0
6515,6760.0
6669,6100.0
6805,1670.0
8046,1080.0
8150,86.3
8210,1115.0
8996,1045.0
3264,207.5
4966,598.0
4979,488.0
5274,16345.0
5347,143.5
6187,1130.0
6223,6100.0
6274,1440.0
6488,872.0
6510,2695.0
8358,352.0
