股票代號,收盤價
1590,1335.0
2002,19.1
2303,137.0
2308,1805.0
2313,231.0
2317,251.5
2327,567.0
2330,2470.0
2345,1955.0
2360,2265.0
2368,1075.0
2382,328.0
2383,5340.0
2408,531.0
2439,76.1
2449,268.5
2454,4710.0
2481,152.5
2637,98.1
3008,6500.0
3017,3285.0
3037,954.0
3376,203.5
3443,5960.0
3653,5550.0
3661,4030.0
3665,1935.0
3711,618.0
4958,505.0
6191,81.7
6271,223.0
6278,188.5
6515,7700.0
6669,2340.0
6805,2155.0
8046,1025.0
8150,90.3
8210,907.0
8996,1225.0
3264,225.0
4966,547.0
4979,605.0
5274,19220.0
5347,152.0
6187,1385.0
6223,5795.0
6274,1345.0
6488,955.0
6510,3620.0
8358,520.0
