股票代號,收盤價
1590,1390.0
2002,18.6
2303,165.5
2308,1970.0
2313,228.5
2317,239.0
2327,1055.0
2330,2465.0
2345,2750.0
2368,1235.0
2382,369.0
2383,5655.0
2439,90.0
2449,347.5
2454,4345.0
2481,213.5
3008,4295.0
3017,2740.0
3037,979.0
3376,194.0
3443,5330.0
3533,2175.0
3653,3475.0
3661,4895.0
3665,2040.0
3711,727.0
4958,598.0
6191,110.0
6271,264.0
6278,217.0
6515,9310.0
6669,5200.0
6805,1670.0
8046,1145.0
8150,108.5
8210,1310.0
8996,1415.0
1815,101.5
3264,249.0
4966,656.0
5274,17750.0
5347,198.0
5439,348.0
6147,211.5
6187,1005.0
6223,7255.0
6274,1690.0
6488,1205.0
6510,3240.0
8358,570.0
