股票代號,收盤價
1590,1390.0
2002,19.05
2303,178.5
2308,1980.0
2313,233.0
2317,257.5
2327,1125.0
2330,2390.0
2345,2380.0
2368,1240.0
2382,366.5
2383,5640.0
2439,91.6
2449,334.5
2454,4310.0
2481,192.0
3008,5165.0
3017,2505.0
3037,1020.0
3376,200.5
3443,4850.0
3533,2225.0
3653,3390.0
3661,4230.0
3665,1920.0
3711,641.0
4958,602.0
6191,99.3
6271,271.5
6278,205.0
6515,9100.0
6669,4545.0
6805,1750.0
8046,1045.0
8150,96.0
8210,1285.0
8996,1460.0
1815,107.0
3264,228.0
4966,658.0
5274,17425.0
5347,220.0
5439,323.0
6147,240.5
6187,1105.0
6223,6905.0
6274,1700.0
6488,1040.0
6510,3430.0
8358,630.0
