股票代號,收盤價
1590,1455.0
2002,18.95
2303,115.5
2308,1765.0
2313,207.5
2317,245.0
2327,576.0
2330,2350.0
2345,2125.0
2360,2120.0
2368,1040.0
2382,331.0
2383,5880.0
2408,481.0
2439,79.1
2449,235.0
2454,3845.0
2481,136.5
2637,91.8
3008,5550.0
3017,3095.0
3037,1130.0
3376,186.5
3443,5295.0
3653,5460.0
3661,3630.0
3665,2200.0
3711,588.0
4958,457.0
6191,82.5
6271,194.0
6278,174.5
6515,6370.0
6669,6375.0
6805,1800.0
8046,1180.0
8150,87.3
8210,985.0
8996,1135.0
3264,206.5
4966,582.0
4979,529.0
5274,15830.0
5347,151.5
6187,1305.0
6223,5255.0
6274,1500.0
6488,983.0
6510,2660.0
8358,410.5
