股票代號,收盤價
1303,80.5
1319,80.1
1326,45.6
2002,19.5
2308,1515.0
2327,256.0
2330,1860.0
2345,1615.0
2357,550.0
2368,927.0
2383,2885.0
2404,855.0
2439,86.7
2449,268.0
2454,1470.0
2481,104.5
3008,2170.0
3017,2030.0
3037,564.0
3189,358.5
3376,206.0
3443,2365.0
3583,507.0
3653,3760.0
3661,2705.0
3665,1990.0
3711,352.0
6139,517.0
6191,89.1
6515,7100.0
6669,3395.0
6805,1850.0
8046,624.0
8210,830.0
8996,904.0
1815,102.0
3211,357.0
3217,153.0
3264,156.0
3324,918.0
4979,404.5
5274,11470.0
5347,121.0
6147,89.80000305175781
6187,920.0
6223,3920.0
6274,683.0
6488,412.0
6510,3325.0
8358,243.5
