股票代號,收盤價
1590,1425.0
2002,19.15
2303,128.0
2308,1785.0
2313,201.5
2317,252.5
2327,642.0
2330,2350.0
2345,2220.0
2368,901.0
2382,328.0
2383,4755.0
2408,401.0
2439,82.9
2449,271.0
2454,3750.0
3008,3920.0
3017,2380.0
3037,839.0
3376,185.5
3443,4070.0
3533,1970.0
3653,3430.0
3661,3405.0
3665,2205.0
3711,613.0
4958,482.0
6191,88.9
6271,189.0
6278,159.5
6515,6295.0
6669,5730.0
6805,1410.0
8046,1110.0
8150,90.8
8210,1095.0
8996,1005.0
3264,209.5
4966,611.0
4979,426.5
5274,14730.0
5347,157.0
5439,235.5
6147,158.0
6187,942.0
6223,5705.0
6274,1250.0
6488,1030.0
6510,2590.0
8358,367.0
