股票代號,收盤價
1319,80.0
1590,1450.0
2002,18.2
2303,111.0
2308,2020.0
2313,259.0
2317,248.5
2327,501.0
2330,2240.0
2345,2495.0
2357,635.0
2368,1250.0
2383,4545.0
2404,1005.0
2439,85.2
2449,295.0
2454,3400.0
2481,129.0
3008,3290.0
3017,2410.0
3036,263.5
3037,816.0
3376,205.5
3443,4740.0
3653,3270.0
3661,4590.0
3665,2025.0
3711,510.0
6191,90.4
6278,210.0
6415,514.0
6515,10240.0
6669,5090.0
6805,1735.0
8046,791.0
8150,82.3
8210,1380.0
8996,1045.0
1815,103.5
3217,185.0
3264,230.0
4966,757.0
5274,16150.0
5439,381.0
6147,207.0
6187,1135.0
6223,6135.0
6274,1260.0
6510,3720.0
8358,428.0
