股票代號,收盤價
1590,1330.0
2002,19.25
2303,141.5
2308,1795.0
2313,228.0
2317,252.0
2327,565.0
2330,2465.0
2345,2015.0
2360,2335.0
2368,1100.0
2382,342.0
2383,5375.0
2408,523.0
2439,74.9
2449,270.0
2454,4625.0
2481,152.0
2637,100.5
3008,6870.0
3017,3380.0
3037,993.0
3376,206.0
3443,5925.0
3653,5760.0
3661,3905.0
3665,1975.0
3711,640.0
4958,502.0
6191,83.1
6271,226.5
6278,193.5
6515,7280.0
6669,2325.0
6805,2295.0
8046,1110.0
8150,91.5
8210,916.0
8996,1345.0
3264,233.0
4966,550.0
4979,610.0
5274,18605.0
5347,157.0
6187,1330.0
6223,5615.0
6274,1345.0
6488,955.0
6510,3610.0
8358,526.0
