股票代號,收盤價
1590,1340.0
2002,18.95
2303,110.0
2308,1530.0
2313,154.0
2317,229.5
2327,456.5
2330,2205.0
2345,1935.0
2368,721.0
2382,279.0
2383,4315.0
2408,328.0
2439,80.9
2449,203.5
2454,3235.0
3008,3715.0
3017,2110.0
3037,716.0
3376,160.0
3443,3460.0
3533,1690.0
3653,3135.0
3661,2785.0
3665,1910.0
3711,505.0
4958,376.0
6191,77.4
6271,149.0
6278,130.5
6515,5290.0
6669,4900.0
6805,1230.0
8046,837.0
8150,66.0
8210,951.0
8996,778.0
3264,161.0
4966,532.0
4979,346.5
5274,13205.0
5347,138.0
5439,185.5
6147,118.5
6187,845.0
6223,4800.0
6274,1010.0
6488,778.0
6510,2270.0
8358,271.0
