股票代號,收盤價
1590,1365.0
2002,19.0
2303,113.5
2308,1580.0
2313,182.0
2317,238.0
2327,563.0
2330,2280.0
2345,2040.0
2368,809.0
2382,313.5
2383,4410.0
2408,392.5
2439,81.9
2449,236.0
2454,3315.0
3008,3900.0
3017,2240.0
3037,764.0
3376,179.5
3443,3660.0
3533,1835.0
3653,3370.0
3661,3115.0
3665,2215.0
3711,554.0
4958,427.5
6191,84.0
6271,165.5
6278,143.5
6515,5935.0
6669,5315.0
6805,1340.0
8046,976.0
8150,81.0
8210,1020.0
8996,906.0
3264,185.5
4966,578.0
4979,427.0
5274,13230.0
5347,147.5
5439,212.0
6147,139.5
6187,962.0
6223,5165.0
6274,1130.0
6488,959.0
6510,2480.0
8358,334.0
