股票代號,收盤價
1303,85.7
1319,78.4
1326,49.95
2002,20.2
2308,1740.0
2313,279.0
2327,303.5
2330,1990.0
2345,1820.0
2357,578.0
2368,1055.0
2383,3325.0
2404,932.0
2439,86.8
2449,295.0
2454,1620.0
2481,101.0
3008,2430.0
3017,2200.0
3037,626.0
3045,110.0
3189,366.5
3376,198.0
3443,2775.0
3583,702.0
3653,4045.0
3661,3090.0
3665,2225.0
3711,417.5
6191,95.4
6515,8560.0
6669,3645.0
6805,1765.0
8046,655.0
8210,900.0
8996,1095.0
1815,113.0
3211,359.5
3217,156.0
3264,191.5
3324,940.0
4979,465.0
5274,12180.0
6147,116.5
6187,1040.0
6223,4545.0
6274,801.0
6488,499.5
6510,3420.0
8358,287.0
