股票代號,收盤價
1590,1470.0
2002,19.35
2303,123.5
2308,1750.0
2313,222.0
2317,246.5
2327,537.0
2330,2415.0
2345,2055.0
2360,1980.0
2368,1040.0
2382,332.5
2383,5895.0
2408,517.0
2439,82.1
2449,244.0
2454,3945.0
2481,150.5
2637,91.2
3008,6290.0
3017,3155.0
3037,1160.0
3376,194.0
3443,6125.0
3653,5725.0
3661,3960.0
3665,2005.0
3711,592.0
4958,453.0
6191,82.1
6271,208.0
6278,199.5
6515,6025.0
6669,6785.0
6805,2025.0
8046,1180.0
8150,91.1
8210,974.0
8996,1195.0
3264,217.5
4966,576.0
4979,598.0
5274,15690.0
5347,152.0
6187,1300.0
6223,5040.0
6274,1530.0
6488,949.0
6510,2620.0
8358,449.5
