股票代號,收盤價
1590,1360.0
2002,19.0
2303,164.0
2308,1810.0
2313,222.5
2317,248.5
2327,1015.0
2330,2340.0
2345,2380.0
2368,1190.0
2382,362.0
2383,5255.0
2439,89.6
2449,308.0
2454,3880.0
2481,175.0
3008,4720.0
3017,2255.0
3037,975.0
3376,194.5
3443,4420.0
3533,2105.0
3653,3405.0
3661,3870.0
3665,1855.0
3711,632.0
4958,580.0
6191,100.5
6271,255.0
6278,190.5
6515,8190.0
6669,4280.0
6805,1640.0
8046,1125.0
8150,97.5
8210,1230.0
8996,1370.0
1815,96.69999694824219
3264,214.5
4966,608.0
5274,15615.0
5347,202.0
5439,302.5
6147,216.5
6187,1075.0
6223,6500.0
6274,1580.0
6488,936.0
6510,3250.0
8358,570.0
