股票代號,收盤價
1319,92.0999984741211
1590,1280.0
1815,109.5
2002,18.950000762939453
2303,141.5
2308,2360.0
2313,270.5
2317,301.5
2327,846.0
2330,2380.0
2345,2425.0
2357,920.0
2368,1275.0
2382,400.5
2383,4860.0
2404,1150.0
2439,93.5
2449,306.5
2454,4525.0
3008,3850.0
3017,2700.0
3037,975.0
3264,214.5
3376,211.5
3443,4535.0
3533,2615.0
3653,3990.0
3661,4575.0
3665,2195.0
3711,590.0
4966,827.0
5274,18095.0
5347,171.5
5439,374.0
6147,281.0
6187,1010.0
6191,97.0
6223,5515.0
6271,249.5
6274,1590.0
6278,214.5
6510,3215.0
6515,8080.0
6669,5475.0
6805,2190.0
8046,862.0
8150,98.5999984741211
8210,1375.0
8358,627.0
8996,1050.0
