股票代號,收盤價
1590,1245.0
2002,18.7
2303,147.5
2308,1685.0
2313,218.5
2317,250.5
2327,529.0
2330,2425.0
2345,1800.0
2360,2085.0
2368,950.0
2382,344.0
2383,4695.0
2408,488.0
2439,79.3
2449,265.0
2454,4500.0
2481,163.0
2637,102.0
3008,6020.0
3017,3185.0
3037,940.0
3376,175.5
3443,6500.0
3653,5355.0
3661,3295.0
3665,2010.0
3711,614.0
4958,476.0
6191,82.2
6271,225.0
6278,184.0
6515,6120.0
6669,2135.0
6805,2090.0
8046,1065.0
8150,86.7
8210,891.0
8996,1300.0
3264,244.5
4966,556.0
4979,556.0
5274,18275.0
5347,165.5
6187,1210.0
6223,5500.0
6274,1320.0
6488,912.0
6510,3200.0
8358,478.5
