股票代號,收盤價
1590,1280.0
2002,18.65
2303,138.5
2308,1670.0
2313,218.5
2317,246.5
2327,537.0
2330,2385.0
2345,1840.0
2360,2080.0
2368,972.0
2382,333.0
2383,5115.0
2408,465.5
2439,76.6
2449,257.0
2454,4430.0
2481,153.5
2637,96.9
3008,6055.0
3017,3115.0
3037,951.0
3376,173.0
3443,6035.0
3653,5310.0
3661,3355.0
3665,1980.0
3711,592.0
4958,477.5
6191,81.0
6271,221.0
6278,180.5
6515,6310.0
6669,2315.0
6805,2025.0
8046,1085.0
8150,84.4
8210,874.0
8996,1220.0
3264,221.0
4966,523.0
4979,509.0
5274,17520.0
5347,153.0
6187,1215.0
6223,5440.0
6274,1370.0
6488,914.0
6510,3255.0
8358,482.0
