股票代號,收盤價
1590,1370.0
2002,19.0
2303,143.0
2308,1850.0
2313,240.0
2317,256.0
2327,589.0
2330,2460.0
2345,2100.0
2360,2230.0
2368,1120.0
2382,347.5
2383,5495.0
2408,517.0
2439,76.9
2449,273.0
2454,4760.0
2481,158.0
2637,99.2
3008,6660.0
3017,3420.0
3037,949.0
3376,206.5
3443,5935.0
3653,5655.0
3661,4040.0
3665,2070.0
3711,621.0
4958,501.0
6191,82.8
6271,232.5
6278,195.0
6515,7000.0
6669,2490.0
6805,2265.0
8046,1050.0
8150,91.3
8210,937.0
8996,1240.0
3264,227.0
4966,566.0
4979,590.0
5274,19215.0
5347,156.0
6187,1370.0
6223,5490.0
6274,1370.0
6488,971.0
6510,3470.0
8358,515.0
