股票代號,股票名稱,股數,持股權重
1319,東陽,511000,0.02
1590,亞德客-KY,530000,0.29
1815,富喬,107000,0.0
2002,中鋼,5163000,0.04
2303,聯電,46374000,1.71
2308,台達電,6572000,5.32
2313,華通,4124000,0.37
2317,鴻海,1000,0.0
2327,國巨*,18313000,2.88
2330,台積電,11657000,9.68
2337,旺宏,8000,0.0
2345,智邦,6231000,5.68
2357,華碩,1996000,0.5
2368,金像電,7018000,3.54
2383,台光電,4605000,8.49
2404,漢唐,1394000,0.53
2439,美律,18000,0.0
2449,京元電子,12919000,1.47
2454,聯發科,4263000,5.57
2481,強茂,3654000,0.17
3008,大立光,159000,0.17
3017,奇鋐,4813000,4.65
3036,文曄,1200000,0.13
3037,欣興,10822000,3.61
3217,優群,874000,0.06
3264,欣銓,9030000,0.78
3376,新日興,1741000,0.13
3443,創意,764000,1.52
3653,健策,2267000,2.99
3661,世芯-KY,89000,0.16
3665,貿聯-KY,4703848,4.4
3711,日月光投控,14998000,3.07
4966,譜瑞-KY,1036000,0.31
5274,信驊,483000,3.22
5439,高技,3228000,0.45
6147,頎邦,1000,0.0
6187,萬潤,1224000,0.56
6191,精成科,3988000,0.14
6223,旺矽,2169000,4.64
6274,台燿,4151000,2.25
6415,矽力*-KY,940000,0.16
6510,精測,930000,1.31
6515,穎崴,442000,1.63
6669,緯穎,2294000,4.79
6805,富世達,1761000,1.21
8046,南電,12658000,4.17
8150,南茂,11334000,0.36
8210,勤誠,1967000,1.12
8358,金居,1980000,0.34
8996,高力,1034000,0.4
