股票代號,股票名稱,股數,持股權重
1303,南亞,19743000,1.33
1319,東陽,982000,0.07
1326,台化,9001000,0.34
1815,富喬,5000,0.0
2002,中鋼,4929000,0.08
2308,台達電,4379000,6.27
2327,國巨*,11083000,2.61
2330,台積電,5518000,9.11
2345,智邦,3646000,5.52
2357,華碩,8000,0.0
2368,金像電,6607000,5.94
2383,台光電,2861000,8.08
2404,漢唐,764000,0.58
2439,美律,8000,0.0
2449,京元電子,7512000,1.72
2454,聯發科,508000,0.66
2481,強茂,1636000,0.14
3008,大立光,10000,0.02
3017,奇鋐,3026000,5.66
3037,欣興,9147000,4.82
3189,景碩,2657000,0.84
3211,順達,4086000,1.26
3217,優群,477000,0.06
3264,欣銓,2870000,0.45
3324,雙鴻,160000,0.13
3376,新日興,1428000,0.24
3443,創意,267000,0.59
3583,辛耘,526000,0.29
3653,健策,1694000,5.77
3661,世芯-KY,233000,0.58
3665,貿聯-KY,3052848,5.54
3711,日月光投控,6159000,2.0
4979,華星光,1037000,0.38
5274,信驊,318000,3.3
5347,世界,5845000,0.62
6139,亞翔,1559000,0.82
6147,頎邦,7692000,0.67
6187,萬潤,388000,0.31
6191,精成科,3402000,0.28
6223,旺矽,1414000,5.39
6274,台燿,2670000,1.78
6488,環球晶,1330000,0.54
6510,精測,604000,1.74
6515,穎崴,268000,1.75
6669,緯穎,76000,0.23
6805,富世達,1130000,1.74
8046,南電,8189000,4.51
8210,勤誠,34000,0.02
8358,金居,2750000,0.62
8996,高力,515000,0.44
