股票代號,今日股數,今日權重%,昨日股數,昨日權重%,股票名稱,買賣超股數,權重Δ%,首次買進,關鍵賣出,今日收盤價,昨日收盤價
1303,1373000.0,0.06,1373000.0,0.06,南亞,0,0.0,False,False,85.9,85.19999694824219
1319,508000.0,0.02,508000.0,0.02,東陽,0,0.0,False,False,75.2,75.5999984741211
1815,107000.0,0.01,107000.0,0.01,富喬,0,0.0,False,False,108.5,108.0
2002,5160000.0,0.05,5160000.0,0.05,中鋼,0,0.0,False,False,19.0,19.149999618530277
2303,30837000.0,1.08,30837000.0,1.14,聯電,0,-0.06,False,False,74.5,73.5999984741211
2308,6024000.0,5.89,6024000.0,5.97,台達電,0,-0.08,False,False,2075.0,1980.0
2313,764000.0,0.08,764000.0,0.09,華通,0,-0.01,False,False,214.5,222.5
2317,6927000.0,0.72,6927000.0,0.78,鴻海,0,-0.06,False,False,221.5,225.0
2327,14288000.0,2.0,14288000.0,2.11,國巨*,0,-0.11,False,False,297.0,295.0
2330,9114000.0,9.39,9113000.0,9.49,台積電,1000,-0.1,False,False,2185.0,2080.0
2345,5231000.0,5.28,5057000.0,5.27,智邦,174000,0.01,False,False,2140.0,2080.0
2357,15000.0,0.0,15000.0,0.0,華碩,0,0.0,False,False,585.0,598.0
2368,7748000.0,5.08,7389000.0,4.68,金像電,359000,0.4,False,False,1390.0,1265.0
2383,4125000.0,8.7,3904000.0,8.02,台光電,221000,0.68,False,False,4475.0,4100.0
2404,1091000.0,0.51,1091000.0,0.53,漢唐,0,-0.02,False,False,989.0,975.0
2439,15000.0,0.0,0.0,0.0,美律,15000,0.0,True,False,86.7,
2449,10503000.0,1.42,10503000.0,1.46,京元電子,0,-0.04,False,False,286.0,277.5
2454,3867000.0,4.44,3295000.0,3.66,聯發科,572000,0.78,False,False,2435.0,2215.0
2481,3651000.0,0.17,3651000.0,0.18,強茂,0,-0.01,False,False,100.0,100.0
3017,3902000.0,5.42,3845000.0,5.16,奇鋐,57000,0.26,False,False,2945.0,2680.0
3037,9287000.0,3.46,9287000.0,3.39,欣興,0,0.07,False,False,790.0,728.0
3189,5038000.0,1.25,2952000.0,0.71,景碩,2086000,0.54,False,False,526.0,479.0
3211,916000.0,0.16,916000.0,0.18,順達,0,-0.02,False,False,381.5,394.0
3217,780000.0,0.07,780000.0,0.07,優群,0,0.0,False,False,177.0,186.5
3264,4896000.0,0.48,4896000.0,0.48,欣銓,0,0.0,False,False,210.0,197.5
3324,170000.0,0.1,170000.0,0.09,雙鴻,0,0.01,False,False,1215.0,1105.0
3376,1561000.0,0.16,1561000.0,0.17,新日興,0,-0.01,False,False,213.0,215.0
3443,271000.0,0.52,271000.0,0.53,創意,0,-0.01,False,False,4035.0,3910.0
3583,0.0,0.0,57000.0,0.03,辛耘,-57000,-0.03,False,True,,893.0
3653,2267000.0,5.74,2267000.0,6.03,健策,0,-0.29,False,False,5370.0,5310.0
3661,694000.0,1.38,694000.0,1.38,世芯-KY,0,0.0,False,False,4215.0,3980.0
3665,4097848.0,5.34,3933848.0,5.43,貿聯-KY,164000,-0.09,False,False,2765.0,2755.0
3711,7654000.0,1.79,7654000.0,1.78,日月光投控,0,0.01,False,False,496.0,464.5
4966,370000.0,0.11,370000.0,0.11,譜瑞-KY,0,0.0,False,False,649.0,600.0
5274,351000.0,2.71,351000.0,2.75,信驊,0,-0.04,False,False,16370.0,15670.0
5439,2880000.0,0.5,2880000.0,0.54,高技,0,-0.04,False,False,365.5,376.5
6147,7884000.0,0.54,7884000.0,0.53,頎邦,0,0.01,False,False,145.0,134.0
6191,3985000.0,0.2,3985000.0,0.21,精成科,0,-0.01,False,False,109.0,107.0
6223,1774000.0,3.89,1774000.0,4.26,旺矽,0,-0.37,False,False,4650.0,4790.0
6274,3019000.0,1.49,3019000.0,1.44,台燿,0,0.05,False,False,1045.0,950.0
6415,660000.0,0.14,660000.0,0.14,矽力*-KY,0,0.0,False,False,436.0,415.5
6488,332000.0,0.09,332000.0,0.1,環球晶,0,-0.01,False,False,582.0,572.0
6510,875000.0,1.5,781000.0,1.51,精測,94000,-0.01,False,False,3630.0,3850.0
6515,368000.0,1.75,368000.0,1.98,穎崴,0,-0.23,False,False,10060.0,10730.0
6669,1101000.0,2.41,952000.0,2.03,緯穎,149000,0.38,False,False,4635.0,4250.0
6805,1698000.0,1.53,1698000.0,1.62,富世達,0,-0.09,False,False,1915.0,1910.0
7769,97000.0,0.22,97000.0,0.23,鴻勁,0,-0.01,False,False,4730.0,4810.0
8046,11881000.0,4.9,9256000.0,3.69,南電,2625000,1.21,False,False,874.0,795.0
8210,1051000.0,0.6,1051000.0,0.58,勤誠,0,0.02,False,False,1210.0,1100.0
8358,5558000.0,0.94,5558000.0,1.03,金居,0,-0.09,False,False,359.5,370.0
8996,535000.0,0.28,535000.0,0.32,高力,0,-0.04,False,False,1125.0,1210.0
