股票代號,今日股數,今日權重%,昨日股數,昨日權重%,股票名稱,買賣超股數,權重Δ%,首次買進,關鍵賣出,今日收盤價,昨日收盤價
1303,19743000.0,1.47,19743000.0,1.46,南亞,0,0.01,False,False,77.1,78.7
1319,1504000.0,0.12,1504000.0,0.12,東陽,0,0.0,False,False,80.1,82.0
1326,9001000.0,0.39,9001000.0,0.38,台化,0,0.01,False,False,44.95,45.3
1815,5000.0,0.0,5000.0,0.0,富喬,0,0.0,False,False,96.5999984741211,98.6999969482422
2002,4929000.0,0.09,4929000.0,0.09,中鋼,0,0.0,False,False,19.5,19.5
2308,4379000.0,6.05,4379000.0,6.08,台達電,0,-0.03,False,False,1430.0,1475.0
2313,7000.0,0.0,7000.0,0.0,華通,0,0.0,False,False,260.0,266.0
2327,11083000.0,2.63,11083000.0,2.62,國巨*,0,0.01,False,False,246.0,251.5
2330,5428000.0,9.49,5428000.0,9.48,台積電,0,0.01,False,False,1810.0,1855.0
2345,3646000.0,5.6,3646000.0,5.7,智邦,0,-0.1,False,False,1590.0,1660.0
2357,8000.0,0.0,8000.0,0.0,華碩,0,0.0,False,False,555.0,567.0
2368,6607000.0,5.78,6607000.0,5.88,金像電,0,-0.1,False,False,905.0,946.0
2383,2807000.0,7.55,2807000.0,7.56,台光電,0,-0.01,False,False,2785.0,2860.0
2404,595000.0,0.48,595000.0,0.47,漢唐,0,0.01,False,False,829.0,834.0
2439,8000.0,0.0,8000.0,0.0,美律,0,0.0,False,False,83.8,85.3
2449,7512000.0,1.88,7512000.0,1.98,京元電子,0,-0.1,False,False,259.0,280.5
2454,508000.0,0.72,508000.0,0.7,聯發科,0,0.02,False,False,1465.0,1465.0
2481,1636000.0,0.15,0.0,0.0,強茂,1636000,0.15,True,False,95.1,
3008,10000.0,0.02,10000.0,0.02,大立光,0,0.0,False,False,2140.0,2190.0
3017,3026000.0,6.05,3026000.0,6.01,奇鋐,0,0.04,False,False,2070.0,2110.0
3037,7410000.0,3.71,7410000.0,3.41,欣興,0,0.3,False,False,519.0,488.5
3045,8000.0,0.0,8000.0,0.0,台灣大,0,0.0,False,False,109.5,109.5
3189,2657000.0,0.86,2657000.0,0.83,景碩,0,0.03,False,False,336.0,332.0
3211,4086000.0,1.31,4086000.0,1.36,順達,0,-0.05,False,False,332.0,352.5
3217,477000.0,0.07,477000.0,0.07,優群,0,0.0,False,False,150.5,153.5
3264,2870000.0,0.45,2870000.0,0.45,欣銓,0,0.0,False,False,161.0,166.0
3324,160000.0,0.14,160000.0,0.14,雙鴻,0,0.0,False,False,910.0,920.0
3376,1428000.0,0.26,1428000.0,0.26,新日興,0,0.0,False,False,187.5,196.0
3443,267000.0,0.6,267000.0,0.59,創意,0,0.01,False,False,2320.0,2355.0
3583,0.0,0.0,8000.0,0.0,辛耘,-8000,0.0,False,True,,465.0
3653,1595000.0,5.72,1595000.0,5.93,健策,0,-0.21,False,False,3710.0,3950.0
3661,275000.0,0.72,275000.0,0.71,世芯-KY,0,0.01,False,False,2705.0,2730.0
3665,3052848.0,5.65,3052848.0,5.49,貿聯-KY,0,0.16,False,False,1915.0,1910.0
3711,6159000.0,2.15,6159000.0,2.09,日月光投控,0,0.06,False,False,361.0,361.0
4979,1037000.0,0.38,1037000.0,0.37,華星光,0,0.01,False,False,384.0,375.5
5274,318000.0,3.59,318000.0,3.39,信驊,0,0.2,False,False,11690.0,11315.0
5347,5845000.0,0.62,5845000.0,0.65,世界,0,-0.03,False,False,110.0,118.0
6139,1559000.0,0.78,1559000.0,0.77,亞翔,0,0.01,False,False,521.0,525.0
6187,388000.0,0.34,388000.0,0.33,萬潤,0,0.01,False,False,895.0,891.0
6191,3402000.0,0.29,3402000.0,0.29,精成科,0,0.0,False,False,88.3,90.8
6223,1414000.0,5.14,1414000.0,5.26,旺矽,0,-0.12,False,False,3765.0,3950.0
6274,1773000.0,1.06,1773000.0,1.04,台燿,0,0.02,False,False,621.0,623.0
6488,1330000.0,0.53,1478000.0,0.58,環球晶,-148000,-0.05,False,False,409.5,413.5
6510,604000.0,1.85,604000.0,1.91,精測,0,-0.06,False,False,3165.0,3355.0
6515,268000.0,1.71,268000.0,1.84,穎崴,0,-0.13,False,False,6605.0,7290.0
6669,76000.0,0.25,76000.0,0.24,緯穎,0,0.01,False,False,3410.0,3420.0
6805,1130000.0,2.06,1030000.0,1.87,富世達,100000,0.19,False,False,1885.0,1925.0
8046,6895000.0,3.78,6307000.0,3.41,南電,588000,0.37,False,False,568.0,574.0
8210,480000.0,0.39,1240000.0,1.05,勤誠,-760000,-0.66,False,False,841.0,899.0
8358,1955000.0,0.43,1955000.0,0.45,金居,0,-0.02,False,False,230.0,243.0
8996,515000.0,0.43,515000.0,0.44,高力,0,-0.01,False,False,866.0,908.0
