股票代號,今日股數,今日權重%,昨日股數,昨日權重%,股票名稱,買賣超股數,權重Δ%,首次買進,關鍵賣出,今日收盤價,昨日收盤價
1590,528000,0.26,528000,0.26,亞德客-KY,0,0.0,False,False,1265.0,1350.0
1815,107000,0.0,107000,0.0,富喬,0,0.0,False,False,81.5,89.0999984741211
2002,5163000,0.04,5163000,0.04,中鋼,0,0.0,False,False,18.65,18.8
2303,86550000,4.92,86550000,5.12,聯電,0,-0.2,False,False,144.0,160.0
2308,5181000,3.56,5181000,3.65,台達電,0,-0.09,False,False,1740.0,1905.0
2313,1000,0.0,1000,0.0,華通,0,0.0,False,False,212.0,235.5
2317,1000,0.0,1000,0.0,鴻海,0,0.0,False,False,234.0,242.5
2327,25098000,6.93,25098000,7.2,國巨*,0,-0.27,False,False,699.0,776.0
2330,11960000,10.81,11960000,10.92,台積電,0,-0.11,False,False,2290.0,2470.0
2345,6334000,5.23,6334000,5.43,智邦,0,-0.2,False,False,2090.0,2320.0
2368,8315000,3.04,8315000,3.09,金像電,0,-0.05,False,False,927.0,1005.0
2382,1000,0.0,1000,0.0,廣達,0,0.0,False,False,325.5,352.0
2383,4653000,8.26,4653000,8.59,台光電,0,-0.33,False,False,4495.0,4990.0
2439,1000,0.0,1000,0.0,美律,0,0.0,False,False,82.1,85.8
2449,5193000,0.59,5193000,0.61,京元電子,0,-0.02,False,False,286.5,318.0
2454,5131000,6.83,5131000,7.02,聯發科,0,-0.19,False,False,3370.0,3700.0
2481,5000,0.0,5000,0.0,強茂,0,0.0,False,False,151.5,167.0
3008,1000,0.0,1000,0.0,大立光,0,0.0,False,False,4010.0,4260.0
3017,5191000,4.51,5191000,4.27,奇鋐,0,0.24,False,False,2200.0,2225.0
3037,16607000,5.21,16607000,5.42,欣興,0,-0.21,False,False,794.0,882.0
3264,1508000,0.13,1508000,0.13,欣銓,0,0.0,False,False,214.0,237.5
3376,1741000,0.13,1741000,0.13,新日興,0,0.0,False,False,187.0,194.5
3443,1000,0.0,1000,0.0,創意,0,0.0,False,False,3835.0,4185.0
3533,1000,0.0,1000,0.0,嘉澤,0,0.0,False,False,1865.0,2020.0
3653,2267000,2.87,2267000,2.85,健策,0,0.02,False,False,3210.0,3395.0
3661,1000,0.0,1000,0.0,世芯-KY,0,0.0,False,False,3480.0,3770.0
3665,4833848,3.37,4833848,3.49,貿聯-KY,0,-0.12,False,False,1765.0,1955.0
3711,16135000,3.91,16135000,4.07,日月光投控,0,-0.16,False,False,614.0,682.0
4958,1000,0.0,1000,0.0,臻鼎-KY,0,0.0,False,False,521.0,578.0
4966,140000,0.03,140000,0.03,譜瑞-KY,0,0.0,False,False,585.0,631.0
5274,448900,2.3,448900,2.31,信驊,0,-0.01,False,False,12950.0,13905.0
5347,1000,0.0,1000,0.0,世界,0,0.0,False,False,169.0,187.5
5439,3528000,0.36,3528000,0.38,高技,0,-0.02,False,False,262.0,289.0
6147,6275000,0.44,6275000,0.46,頎邦,0,-0.02,False,False,178.5,198.0
6187,1334000,0.51,1334000,0.53,萬潤,0,-0.02,False,False,975.0,1075.0
6191,3988000,0.14,3988000,0.14,精成科,0,0.0,False,False,89.2,93.5
6223,2443000,5.4,2443000,5.62,旺矽,0,-0.22,False,False,5600.0,6220.0
6271,2966000,0.24,2966000,0.25,同欣電,0,-0.01,False,False,203.0,224.0
6274,5160000,2.38,5160000,2.47,台燿,0,-0.09,False,False,1170.0,1295.0
6278,4334000,0.28,4334000,0.28,台表科,0,0.0,False,False,164.5,177.5
6488,1000,0.0,1000,0.0,環球晶,0,0.0,False,False,1240.0,1370.0
6510,349000,0.36,349000,0.35,精測,0,0.01,False,False,2585.0,2680.0
6515,130000,0.31,130000,0.32,穎崴,0,-0.01,False,False,6055.0,6735.0
6669,2417000,4.41,2417000,4.57,緯穎,0,-0.16,False,False,4620.0,5115.0
6805,1811000,0.96,1811000,0.95,富世達,0,0.01,False,False,1345.0,1415.0
8046,9519000,4.32,9519000,4.49,南電,0,-0.17,False,False,1150.0,1275.0
8150,1000,0.0,1000,0.0,南茂,0,0.0,False,False,110.5,122.5
8210,2267000,0.98,2267000,0.98,勤誠,0,0.0,False,False,1095.0,1175.0
8358,1000,0.0,1000,0.0,金居,0,0.0,False,False,398.5,439.0
8996,1000,0.0,1000,0.0,高力,0,0.0,False,False,1015.0,1125.0
