股票代號,今日股數,今日權重%,昨日股數,昨日權重%,股票名稱,買賣超股數,權重Δ%,首次買進,關鍵賣出,今日收盤價,昨日收盤價
1303,15337000,1.2,15337000,1.2,南亞,0,0.0,False,False,72.3,73.8
1319,1502000,0.13,1502000,0.13,東陽,0,0.0,False,False,82.2,82.0
1326,8828000,0.41,8828000,0.4,台化,0,0.01,False,False,43.0,43.1
1815,3000,0.0,3000,0.0,富喬,0,0.0,False,False,98.8000030517578,103.5
2002,4927000,0.1,4927000,0.1,中鋼,0,0.0,False,False,19.2,19.05
2308,4339000,6.62,4339000,6.49,台達電,0,0.13,False,False,1415.0,1410.0
2327,10803000,2.92,10803000,2.9,國巨*,0,0.02,False,False,250.5,253.0
2330,4873000,9.51,4485000,8.61,台積電,388000,0.9,False,False,1810.0,1810.0
2345,3219000,5.33,3154000,5.24,智邦,65000,0.09,False,False,1535.0,1565.0
2357,6000,0.0,6000,0.0,華碩,0,0.0,False,False,565.0,563.0
2368,5841000,5.59,5841000,5.96,金像電,0,-0.37,False,False,888.0,962.0
2383,2558000,7.4,2497000,7.4,台光電,61000,0.0,False,False,2685.0,2795.0
2404,574000,0.58,574000,0.56,漢唐,0,0.02,False,False,935.0,915.0
2408,1306000,0.3,1306000,0.31,南亞科,0,-0.01,False,False,216.5,223.0
2439,6000,0.0,6000,0.0,美律,0,0.0,False,False,84.6,83.3
2449,7082000,2.13,7082000,2.15,京元電子,0,-0.02,False,False,278.5,286.0
2454,487000,0.85,487000,0.84,聯發科,0,0.01,False,False,1620.0,1625.0
3008,8000,0.02,8000,0.02,大立光,0,0.0,False,False,2240.0,2235.0
3017,2976000,6.24,2976000,6.3,奇鋐,0,-0.06,False,False,1945.0,1995.0
3037,7410000,3.67,7410000,3.92,欣興,0,-0.25,False,False,460.0,499.0
3045,6000,0.0,6000,0.0,台灣大,0,0.0,False,False,109.5,109.0
3189,2657000,0.92,2657000,0.98,景碩,0,-0.06,False,False,320.5,346.0
3211,1596000,0.54,1596000,0.51,順達,0,0.03,False,False,316.0,300.5
3217,356000,0.06,356000,0.06,優群,0,0.0,False,False,154.5,154.5
3264,1790000,0.28,1790000,0.28,欣銓,0,0.0,False,False,145.5,145.0
3324,159000,0.17,159000,0.17,雙鴻,0,0.0,False,False,1005.0,1005.0
3376,1426000,0.33,1426000,0.31,新日興,0,0.02,False,False,214.5,204.0
3443,265000,0.72,265000,0.73,創意,0,-0.01,False,False,2505.0,2590.0
3533,115000,0.24,115000,0.24,嘉澤,0,0.0,False,False,1955.0,1985.0
3653,1378000,5.87,1378000,5.63,健策,0,0.24,False,False,3950.0,3850.0
3661,531000,1.78,531000,1.8,世芯-KY,0,-0.02,False,False,3110.0,3190.0
3665,2678848,4.99,2678848,5.03,貿聯-KY,0,-0.04,False,False,1730.0,1770.0
3711,4259000,1.53,4259000,1.49,日月光投控,0,0.04,False,False,332.5,329.5
4979,1037000,0.43,1037000,0.42,華星光,0,0.01,False,False,387.0,380.0
5274,258000,3.03,258000,3.14,信驊,0,-0.11,False,False,10910.0,11465.0
5347,3849000,0.47,3849000,0.46,世界,0,0.01,False,False,113.0,113.0
5536,5000,0.0,5000,0.0,聖暉*,0,0.0,False,False,750.0,723.0
6139,1724000,1.17,1724000,1.09,亞翔,0,0.08,False,False,632.0,598.0
6191,3400000,0.33,3400000,0.33,精成科,0,0.0,False,False,91.3,92.8
6223,1384000,5.47,1384000,5.45,旺矽,0,0.02,False,False,3670.0,3715.0
6274,845000,0.49,845000,0.48,台燿,0,0.01,False,False,541.0,538.0
6488,1701000,0.79,1701000,0.8,環球晶,0,-0.01,False,False,431.5,441.5
6510,591000,2.04,591000,2.14,精測,0,-0.1,False,False,3200.0,3410.0
6515,268000,2.37,268000,2.24,穎崴,0,0.13,False,False,8190.0,7885.0
6669,74000,0.3,74000,0.29,緯穎,0,0.01,False,False,3725.0,3645.0
6805,682000,1.35,682000,1.35,富世達,0,0.0,False,False,1835.0,1865.0
8046,4956000,2.62,4706000,2.67,南電,250000,-0.05,False,False,491.0,534.0
8210,1622000,1.52,1622000,1.54,勤誠,0,-0.02,False,False,868.0,893.0
8358,1865000,0.45,1865000,0.44,金居,0,0.01,False,False,221.5,222.5
8996,335000,0.28,335000,0.29,高力,0,-0.01,False,False,772.0,820.0
