股票代號,今日股數,今日權重%,昨日股數,昨日權重%,股票名稱,買賣超股數,權重Δ%,首次買進,關鍵賣出,今日收盤價,昨日收盤價
1303,17098000,1.28,17098000,1.31,南亞,0,-0.03,False,False,74.2,74.8
1319,1502000,0.13,1502000,0.13,東陽,0,0.0,False,False,83.4,84.0
1326,8828000,0.39,8828000,0.41,台化,0,-0.02,False,False,44.25,45.1
1815,3000,0.0,3000,0.0,富喬,0,0.0,False,False,106.5,104.5
2002,4927000,0.1,4927000,0.1,中鋼,0,0.0,False,False,19.6,19.75
2308,4339000,6.62,4339000,6.72,台達電,0,-0.1,False,False,1510.0,1515.0
2327,10803000,2.84,10803000,2.9,國巨*,0,-0.06,False,False,260.0,262.0
2330,4873000,8.96,4873000,9.17,台積電,0,-0.21,False,False,1820.0,1840.0
2345,3301000,5.52,3301000,5.66,智邦,0,-0.14,False,False,1655.0,1675.0
2357,6000,0.0,6000,0.0,華碩,0,0.0,False,False,577.0,574.0
2368,5841000,5.45,5841000,5.48,金像電,0,-0.03,False,False,924.0,918.0
2383,2636000,7.75,2636000,7.94,台光電,0,-0.19,False,False,2910.0,2945.0
2404,574000,0.51,574000,0.53,漢唐,0,-0.02,False,False,880.0,905.0
2408,1306000,0.29,1306000,0.3,南亞科,0,-0.01,False,False,219.5,225.5
2439,6000,0.0,6000,0.0,美律,0,0.0,False,False,85.3,85.0
2449,7082000,1.99,7082000,2.09,京元電子,0,-0.1,False,False,278.5,288.0
2454,487000,0.78,487000,0.79,聯發科,0,-0.01,False,False,1585.0,1590.0
3008,8000,0.02,8000,0.02,大立光,0,0.0,False,False,2220.0,2210.0
3017,2976000,6.6,2976000,6.93,奇鋐,0,-0.33,False,False,2195.0,2275.0
3037,7410000,3.78,7410000,3.8,欣興,0,-0.02,False,False,505.0,502.0
3045,6000,0.0,6000,0.0,台灣大,0,0.0,False,False,109.5,109.0
3189,2657000,0.95,2657000,0.96,景碩,0,-0.01,False,False,352.0,351.5
3211,3969000,1.46,3198000,1.18,順達,771000,0.28,False,False,365.0,362.0
3217,356000,0.06,356000,0.06,優群,0,0.0,False,False,156.0,154.5
3264,1790000,0.29,1790000,0.27,欣銓,0,0.02,False,False,158.0,150.0
3324,159000,0.16,159000,0.16,雙鴻,0,0.0,False,False,993.0,985.0
3376,1426000,0.3,1426000,0.31,新日興,0,-0.01,False,False,207.5,210.0
3443,265000,0.66,265000,0.69,創意,0,-0.03,False,False,2460.0,2540.0
3533,115000,0.26,115000,0.27,嘉澤,0,-0.01,False,False,2260.0,2270.0
3653,1378000,5.63,1378000,5.55,健策,0,0.08,False,False,4040.0,3940.0
3661,339000,1.04,339000,1.06,世芯-KY,0,-0.02,False,False,3040.0,3065.0
3665,2775848,5.22,2775848,5.15,貿聯-KY,0,0.07,False,False,1860.0,1815.0
3711,6039000,2.16,5654000,2.08,日月光投控,385000,0.08,False,False,353.5,359.0
4979,1037000,0.42,1037000,0.44,華星光,0,-0.02,False,False,396.5,411.0
5274,258000,3.01,258000,3.05,信驊,0,-0.04,False,False,11555.0,11550.0
5347,5719000,0.7,5719000,0.68,世界,0,0.02,False,False,120.5,117.0
6139,1525000,0.88,1525000,0.92,亞翔,0,-0.04,False,False,574.0,589.0
6187,388000,0.38,388000,0.37,萬潤,0,0.01,False,False,968.0,939.0
6191,3400000,0.33,3400000,0.32,精成科,0,0.01,False,False,95.8,92.4
6223,1384000,5.13,1384000,5.17,旺矽,0,-0.04,False,False,3665.0,3655.0
6274,845000,0.53,845000,0.52,台燿,0,0.01,False,False,626.0,606.0
6488,1701000,0.77,1701000,0.79,環球晶,0,-0.02,False,False,447.5,454.5
6510,591000,1.94,591000,1.86,精測,0,0.08,False,False,3240.0,3075.0
6515,268000,2.14,268000,2.23,穎崴,0,-0.09,False,False,7915.0,8145.0
6669,74000,0.25,74000,0.26,緯穎,0,-0.01,False,False,3395.0,3465.0
6805,682000,1.31,682000,1.33,富世達,0,-0.02,False,False,1905.0,1905.0
8046,5697000,3.23,5697000,3.32,南電,0,-0.09,False,False,561.0,569.0
8210,1459000,1.34,1459000,1.35,勤誠,0,-0.01,False,False,909.0,903.0
8358,1865000,0.45,1865000,0.48,金居,0,-0.03,False,False,237.0,249.5
8996,335000,0.29,335000,0.29,高力,0,0.0,False,False,865.0,845.0
