股票代號,今日股數,今日權重%,昨日股數,昨日權重%,股票名稱,買賣超股數,權重Δ%,首次買進,關鍵賣出,今日收盤價,昨日收盤價
1590,530000,0.26,530000,0.25,亞德客-KY,0,0.01,False,False,1360.0,1390.0
1815,107000,0.0,107000,0.0,富喬,0,0.0,False,False,96.6999969482422,107.0
2002,5163000,0.04,5163000,0.03,中鋼,0,0.01,False,False,19.0,19.05
2303,86550000,5.11,86550000,5.28,聯電,0,-0.17,False,False,164.0,178.5
2308,5614000,3.66,5614000,3.8,台達電,0,-0.14,False,False,1810.0,1980.0
2313,1000,0.0,1000,0.0,華通,0,0.0,False,False,222.5,233.0
2317,7307000,0.65,7307000,0.64,鴻海,0,0.01,False,False,248.5,257.5
2327,25098000,9.18,25098000,9.64,國巨*,0,-0.46,False,False,1015.0,1125.0
2330,11960000,10.08,11960000,9.76,台積電,0,0.32,False,False,2340.0,2390.0
2345,6334000,5.43,6334000,5.15,智邦,0,0.28,False,False,2380.0,2380.0
2368,8315000,3.56,8315000,3.52,金像電,0,0.04,False,False,1190.0,1240.0
2382,1000,0.0,1000,0.0,廣達,0,0.0,False,False,362.0,366.5
2383,4486000,8.49,4486000,8.64,台光電,0,-0.15,False,False,5255.0,5640.0
2439,18000,0.0,18000,0.0,美律,0,0.0,False,False,89.6,91.6
2449,4481000,0.5,6484000,0.74,京元電子,-2003000,-0.24,False,False,308.0,334.5
2454,5037000,7.04,5037000,7.42,聯發科,0,-0.38,False,False,3880.0,4310.0
2481,5000,0.0,5000,0.0,強茂,0,0.0,False,False,175.0,192.0
3008,1000,0.0,1000,0.0,大立光,0,0.0,False,False,4720.0,5165.0
3017,5191000,4.22,5191000,4.44,奇鋐,0,-0.22,False,False,2255.0,2505.0
3037,14735000,5.17,14735000,5.13,欣興,0,0.04,False,False,975.0,1020.0
3264,1508000,0.12,1508000,0.12,欣銓,0,0.0,False,False,214.5,228.0
3376,1741000,0.12,1741000,0.12,新日興,0,0.0,False,False,194.5,200.5
3443,1000,0.0,1000,0.0,創意,0,0.0,False,False,4420.0,4850.0
3533,852000,0.65,852000,0.65,嘉澤,0,0.0,False,False,2105.0,2225.0
3653,2267000,2.78,2267000,2.62,健策,0,0.16,False,False,3405.0,3390.0
3661,1000,0.0,1000,0.0,世芯-KY,0,0.0,False,False,3870.0,4230.0
3665,4833848,3.23,4833848,3.17,貿聯-KY,0,0.06,False,False,1855.0,1920.0
3711,12742000,2.9,14158000,3.1,日月光投控,-1416000,-0.2,False,False,632.0,641.0
4958,1000,0.0,1000,0.0,臻鼎-KY,0,0.0,False,False,580.0,602.0
4966,1116000,0.24,1642000,0.37,譜瑞-KY,-526000,-0.13,False,False,608.0,658.0
5274,379000,2.13,379000,2.26,信驊,0,-0.13,False,False,15615.0,17425.0
5347,1000,0.0,1000,0.0,世界,0,0.0,False,False,202.0,220.0
5439,3528000,0.38,3528000,0.39,高技,0,-0.01,False,False,302.5,323.0
6147,6275000,0.49,6275000,0.52,頎邦,0,-0.03,False,False,216.5,240.5
6187,1334000,0.52,1334000,0.5,萬潤,0,0.02,False,False,1075.0,1105.0
6191,3988000,0.14,3988000,0.14,精成科,0,0.0,False,False,100.5,99.3
6223,2352000,5.51,2352000,5.55,旺矽,0,-0.04,False,False,6500.0,6905.0
6271,2966000,0.27,2966000,0.28,同欣電,0,-0.01,False,False,255.0,271.5
6274,5058000,2.88,5058000,2.94,台燿,0,-0.06,False,False,1580.0,1700.0
6278,4334000,0.3,4334000,0.3,台表科,0,0.0,False,False,190.5,205.0
6488,350000,0.12,350000,0.12,環球晶,0,0.0,False,False,936.0,1040.0
6510,930000,1.09,930000,1.09,精測,0,0.0,False,False,3250.0,3430.0
6515,281000,0.83,313000,0.97,穎崴,-32000,-0.14,False,False,8190.0,9100.0
6669,2417000,3.73,2417000,3.75,緯穎,0,-0.02,False,False,4280.0,4545.0
6805,1811000,1.07,1811000,1.08,富世達,0,-0.01,False,False,1640.0,1750.0
8046,8917000,3.61,8917000,3.18,南電,0,0.43,False,False,1125.0,1045.0
8150,1000,0.0,1000,0.0,南茂,0,0.0,False,False,97.5,96.0
8210,2267000,1.0,2267000,0.99,勤誠,0,0.01,False,False,1230.0,1285.0
8358,980000,0.2,980000,0.21,金居,0,-0.01,False,False,570.0,630.0
8996,1000,0.0,354000,0.18,高力,-353000,-0.18,False,False,1370.0,1460.0
