股票代號,股票名稱,股數,持股權重
1319,東陽,511000,0.02
1590,亞德客-KY,530000,0.29
1815,富喬,107000,0.0
2002,中鋼,5163000,0.04
2303,聯電,66190000,2.93
2308,台達電,6572000,5.09
2313,華通,4124000,0.41
2327,國巨*,18313000,4.0
2330,台積電,11657000,9.93
2345,智邦,6231000,5.9
2357,華碩,273000,0.07
2368,金像電,7018000,3.44
2383,台光電,4723000,8.46
2404,漢唐,1394000,0.59
2449,京元電子,12919000,1.41
2454,聯發科,4263000,5.78
2481,強茂,2056000,0.1
3008,大立光,329000,0.43
3017,奇鋐,4925000,4.69
3036,文曄,1200000,0.13
3037,欣興,10822000,3.74
3217,優群,874000,0.07
3264,欣銓,6217000,0.52
3376,新日興,1741000,0.14
3443,創意,96000,0.19
3533,嘉澤,772000,0.74
3653,健策,2267000,2.88
3661,世芯-KY,1000,0.0
3665,貿聯-KY,4703848,3.87
3711,日月光投控,14998000,2.92
4966,譜瑞-KY,1036000,0.31
5274,信驊,422000,2.65
5439,高技,3528000,0.51
6147,頎邦,3201000,0.27
6187,萬潤,1224000,0.51
6191,精成科,3988000,0.15
6223,旺矽,2169000,4.68
6271,同欣電,686000,0.05
6274,台燿,4151000,2.1
6278,台表科,3734000,0.32
6415,矽力*-KY,1038000,0.22
6510,精測,930000,1.19
6515,穎崴,442000,1.6
6669,緯穎,2344000,4.78
6805,富世達,1761000,1.22
8046,南電,12658000,4.21
8150,南茂,11334000,0.33
8210,勤誠,1967000,1.0
8358,金居,1980000,0.38
8996,高力,1034000,0.42
