股票代號,股票名稱,股數,持股權重,收盤價
1303,南亞,8012000,0.46,
1319,東陽,505000,0.03,
1815,富喬,106000,0.01,
2002,中鋼,5157000,0.07,
2303,聯電,28030000,1.33,
2308,台達電,5103000,6.12,
2313,華通,110000,0.02,
2327,國巨*,13568000,2.8,
2330,台積電,6556000,8.67,
2345,智邦,4253000,5.73,
2357,華碩,12000,0.0,
2368,金像電,7091000,5.43,
2383,台光電,3012000,7.46,
2404,漢唐,1014000,0.68,
2449,京元電子,9529000,1.71,
2454,聯發科,1870000,2.34,
2481,強茂,3648000,0.28,
3008,大立光,13000,0.02,
3017,奇鋐,3405000,5.32,
3037,欣興,9287000,3.89,
3189,景碩,2826000,0.72,
3211,順達,3703000,0.87,
3217,優群,557000,0.06,
3264,欣銓,3355000,0.38,
3324,雙鴻,167000,0.11,
3376,新日興,1498000,0.19,
3443,創意,271000,0.57,
3583,辛耘,527000,0.26,
3653,健策,1986000,5.91,
3661,世芯-KY,336000,0.77,
3665,貿聯-KY,3467848,5.34,
3711,日月光投控,6879000,1.98,
4979,華星光,1037000,0.43,
5274,信驊,351000,3.16,
5439,高技,2156000,0.56,
6147,頎邦,7884000,0.59,
6187,萬潤,419000,0.33,
6191,精成科,3814000,0.26,
6223,旺矽,1582000,5.35,
6274,台燿,3019000,1.86,
6488,環球晶,886000,0.29,
6510,精測,683000,1.66,
6515,穎崴,331000,2.22,
6669,緯穎,349000,0.86,
6805,富世達,1474000,1.8,
7769,鴻勁,91000,0.27,
8046,南電,8609000,4.06,
8210,勤誠,965000,0.64,
8358,金居,5508000,1.32,
8996,高力,535000,0.43,
