股票代號,股票名稱,股數,持股權重,收盤價
1303,南亞,15337000,1.2,
1319,東陽,1502000,0.13,
1326,台化,8828000,0.41,
1815,富喬,3000,0.0,
2002,中鋼,4927000,0.1,
2308,台達電,4339000,6.62,
2327,國巨*,10803000,2.92,
2330,台積電,4873000,9.51,
2345,智邦,3219000,5.33,
2357,華碩,6000,0.0,
2368,金像電,5841000,5.59,
2383,台光電,2558000,7.4,
2404,漢唐,574000,0.58,
2408,南亞科,1306000,0.3,
2439,美律,6000,0.0,
2449,京元電子,7082000,2.13,
2454,聯發科,487000,0.85,
3008,大立光,8000,0.02,
3017,奇鋐,2976000,6.24,
3037,欣興,7410000,3.67,
3045,台灣大,6000,0.0,
3189,景碩,2657000,0.92,
3211,順達,1596000,0.54,
3217,優群,356000,0.06,
3264,欣銓,1790000,0.28,
3324,雙鴻,159000,0.17,
3376,新日興,1426000,0.33,
3443,創意,265000,0.72,
3533,嘉澤,115000,0.24,
3653,健策,1378000,5.87,
3661,世芯-KY,531000,1.78,
3665,貿聯-KY,2678848,4.99,
3711,日月光投控,4259000,1.53,
4979,華星光,1037000,0.43,
5274,信驊,258000,3.03,
5347,世界,3849000,0.47,
5536,聖暉*,5000,0.0,
6139,亞翔,1724000,1.17,
6191,精成科,3400000,0.33,
6223,旺矽,1384000,5.47,
6274,台燿,845000,0.49,
6488,環球晶,1701000,0.79,
6510,精測,591000,2.04,
6515,穎崴,268000,2.37,
6669,緯穎,74000,0.3,
6805,富世達,682000,1.35,
8046,南電,4956000,2.62,
8210,勤誠,1622000,1.52,
8358,金居,1865000,0.45,
8996,高力,335000,0.28,
